Abu_Zayd_al-Balkhi	Al-Maqdisi
Abu_Zayd_al-Balkhi	Joseph_Wolpe
Abu_al-Barakat_al-Nasafi	Ibn_Nujaym
Abu_al-Barakat_al-Nasafi	Ibn_Abidin
Abu_al-Barakat_al-Nasafi	Akmal_al-Din_al-Babarti
Abu_al-Barakat_al-Nasafi	Badr_al-Din_al-Ayni
Abu_al-Barakat_al-Nasafi	Fakhr_al-Din_al-Zayla'i
Abu_al-Hasan_al-Shushtari	Ahmad_Zarruq
Abu_al-Hasan_al-Shushtari	Ahmad_ibn_Ajiba
Abu_al-Hasan_al-Shushtari	Ibn_Hajar_al-Asqalani
Abu_al-Hasan_al-Shushtari	Ramon_Llull
Abu_al-Mu'in_al-Nasafi	Abu_Hafs_Umar_al-Nasafi
Abu_al-Mu'in_al-Nasafi	Abu_al-Thana'_al-Lamishi
Abu_al-Mu'in_al-Nasafi	Al-Kasani
Abu_al-Mu'in_al-Nasafi	Al-Taftazani
Abu_al-Mu'in_al-Nasafi	Nur_al-Din_al-Sabuni
Abu_al-Wafa'_Buzjani	Al-Biruni
Abu_al-Wafa'_Buzjani	Abu_Nasr_Mansur
Abu_al-Yusr_al-Bazdawi	Abu_Hafs_Umar_al-Nasafi
Abul_Hasan_Ali_Hasani_Nadwi	Kaleem_Siddiqui
Abul_Hasan_Ali_Hasani_Nadwi	Mohammad_Akram_Nadwi
Abul_Hasan_Ali_Hasani_Nadwi	Rabey_Hasani_Nadwi
Abul_Hasan_Ali_Hasani_Nadwi	Sultan_Zauq_Nadvi
Abul_Hasan_Ali_Hasani_Nadwi	Wazeh_Rashid_Hasani_Nadwi
Abul_Hasan_Ali_Hasani_Nadwi	Yusuf_al-Qaradawi
Abul_Hasan_Hankari	Avicenna
Abul_Hasan_Hankari	Al-Ghazali
Abul_Hasan_Hankari	Al-Bayhaqi
Abul_Hasan_Hankari	Abu_Saeed_Mubarak_Makhzoomi
Abul_Hasan_Hankari	Abd_al-Qahir_al-Jurjani
Abul_Hasan_Hankari	Abu_al-Hassan_al-Kharaqani
Adam_Ferguson	Dugald_Stewart
Adam_Ferguson	Karl_Marx
Adam_Karl_August_von_Eschenmayer	François_Laruelle
Adam_Smith	John_Stuart_Mill
Adam_Smith	Joseph_de_Maistre
Adam_Smith	Karl_Marx
Adam_Smith	Ludwig_von_Mises
Adam_Smith	Milton_Friedman
Adam_Smith	Murray_Rothbard
Adam_Smith	Thomas_Sowell
Adam_Smith	Paul_Krugman
Adam_Smith	Pierre-Joseph_Proudhon
Adam_Smith	Roman_Rybarski
Adam_Smith	Thomas_Hodgskin
