*Lisp	C*
Sather	Scheme_(programming_language)
Scala_(programming_language)	Haskell
Scala_(programming_language)	Scheme_(programming_language)
Scala_(programming_language)	Pizza_(programming_language)
Scala_(programming_language)	Oz_(programming_language)
Scala_(programming_language)	OCaml
Scala_(programming_language)	F_Sharp_(programming_language)
Scala_(programming_language)	Smalltalk
Scala_(programming_language)	Erlang_(programming_language)
Scala_(programming_language)	Eiffel_(programming_language)
Scala_(programming_language)	Common_Lisp
Scala_(programming_language)	Java_(programming_language)
Scala_(programming_language)	Standard_ML
Scratch_(programming_language)	Logo_(programming_language)
Scratch_(programming_language)	Smalltalk
Scratch_(programming_language)	HyperCard
Scratch_(programming_language)	StarLogo
Scratch_(programming_language)	AgentSheets
Scratch_(programming_language)	AgentCubes
Scratch_(programming_language)	Etoys_(programming_language)
Sed	Ed_(text_editor)
Seed7	Modula-2
Seed7	Pascal_(programming_language)
Seed7	C_(programming_language)
Seed7	Java_(programming_language)
Seed7	C++
Seed7	Ada_(programming_language)
Seed7	ALGOL_68
Self_(programming_language)	APL_(programming_language)
Self_(programming_language)	Smalltalk
SenseTalk	HyperTalk
Simula	ALGOL_60
Simula	Simscript
Smalltalk	Sketchpad
Smalltalk	Simula
Smalltalk	Planner_(programming_language)
Smalltalk	Logo_(programming_language)
Smalltalk	Lisp_(programming_language)
Smalltalk	IMP_(programming_language)
Smalltalk	Euler_(programming_language)
Smalltalk	Burroughs_large_systems
Smalltalk	ARPANET
Snap!_(programming_language)	Logo_(programming_language)
Snap!_(programming_language)	Scheme_(programming_language)
Snap!_(programming_language)	Scratch_(programming_language)
Snap!_(programming_language)	Smalltalk
Speedcoding	Assembly_language
Speedcoding	Machine_code
Squeak	Sketchpad
Squeak	Simula
Squeak	Smalltalk
Squeak	Logo_(programming_language)
Squeak	Lisp_(programming_language)
Squeak	Self_(programming_language)
Squirrel_(programming_language)	C++
Squirrel_(programming_language)	JavaScript
Squirrel_(programming_language)	Lua_(programming_language)
Squirrel_(programming_language)	Python_(programming_language)
Standard_ML	Pascal_(programming_language)
Standard_ML	ML_(programming_language)
Standard_ML	Hope_(programming_language)
StarLogo	Logo_(programming_language)
Strongtalk	Self_(programming_language)
Strongtalk	Smalltalk
Superplan	Plankalkül
Swift_(programming_language)	Ruby_(programming_language)
Swift_(programming_language)	Rust_(programming_language)
Swift_(programming_language)	Python_(programming_language)
Swift_(programming_language)	Objective-C
Swift_(programming_language)	C_Sharp_(programming_language)
Swift_(programming_language)	D_(programming_language)
Swift_(programming_language)	CLU_(programming_language)
Swift_(programming_language)	Haskell
SystemVerilog	C++
SystemVerilog	Java_(programming_language)
SystemVerilog	OpenVera
SystemVerilog	VHDL
SystemVerilog	Verilog
TELCOMP	JOSS
T_(programming_language)	Scheme_(programming_language)
Tcl	Lisp_(programming_language)
Tcl	AWK
Tea_(programming_language)	Tcl
Tea_(programming_language)	Java_(programming_language)
Tea_(programming_language)	Scheme_(programming_language)
Turing_(programming_language)	Euclid_(programming_language)
Turing_(programming_language)	Pascal_(programming_language)
Turing_(programming_language)	SP/k
Turtlestitch	Logo_(programming_language)
Turtlestitch	Maker_culture
Turtlestitch	Scratch_(programming_language)
Turtlestitch	Snap!_(programming_language)
TypeScript	ActionScript
TypeScript	C_Sharp_(programming_language)
TypeScript	JavaScript
TypeScript	Java_(programming_language)
VHDL	Pascal_(programming_language)
VHDL	Ada_(programming_language)
Vala_(programming_language)	Boo_(programming_language)
Vala_(programming_language)	C++
Vala_(programming_language)	C_(programming_language)
Vala_(programming_language)	C_Sharp_(programming_language)
Vala_(programming_language)	D_(programming_language)
Vala_(programming_language)	Java_(programming_language)
Verilog	Ada_(programming_language)
Verilog	C_(programming_language)
Verilog	Fortran
Verilog	Pascal_(programming_language)
Vilnius_BASIC	MSX_BASIC
Visual_Basic_(classic)	BASIC
Visual_Basic_.NET	Visual_Basic_(classic)
Visual_J_Sharp	Java_(programming_language)
Visual_J_Sharp	Visual_J++
WebAssembly	Asm.js
WebAssembly	Google_Native_Client
Whiley_(programming_language)	C_(programming_language)
Whiley_(programming_language)	Java_(programming_language)
Whiley_(programming_language)	Python_(programming_language)
Whiley_(programming_language)	Rust_(programming_language)
Wolfram_Language	Symbolic_Manipulation_Program
Wolfram_Language	Smalltalk
Wolfram_Language	Simula
Wolfram_Language	Schoonschip
Wolfram_Language	Prolog
Wolfram_Language	C_(programming_language)
Wolfram_Language	Lisp_(programming_language)
Wolfram_Language	Fortran
Wolfram_Language	C++
Wolfram_Language	APL_(programming_language)
Wolfram_Language	Pascal_(programming_language)
XSB	SB-Prolog
XSB	PSB-Prolog
XSB	Prolog
ZPL_(programming_language)	C_(programming_language)
Zig_(programming_language)	LLVM
Zig_(programming_language)	JavaScript
Zig_(programming_language)	Rust_(programming_language)
Zig_(programming_language)	C_(programming_language)
Zig_(programming_language)	C++
Zig_(programming_language)	Go_(programming_language)
Zig_(programming_language)	Wikipedia:Citation_needed
Zonnon	Oberon_(programming_language)
Zonnon	Pascal_(programming_language)

